ID_plot;VPD;VPDest;Psat;Pair;Bazzania trilobata;Hypnum cupressiforme;Lepidozia reptans;Leucobryum juniperoideum;Lophocolea heterophylla;Pleurozium schreberi;Polytrichum formosum;Tetraphis pellucida;Campylopus flexuosus;Dicranella heteromalla;Lophocolea bidentata;Plagiothecium undulatum;Orthodontium lineare;Mnium hornum;Herzogiella seligeri;Brachythecium rutabulum;Scapania nemorea;Pohlia nutans;Calypogeia muelleriana;Dicranodontium denudatum;Orthodicranum montanum;Ptilidium ciliare;Cephalozia bicuspidata;Mylia taylorii;Atrichum undulatum;Odontoschisma denudatum;Polytrichum commune;Dicranum majus;Dicranoweisia cirrata;Riccardia multifida;Lophozia ventricosa;Pellia species;Rhabdoweisia fugax;Plagiomnium affine;Plagiomnium undulatum;Sphagnum girgensohnii/capillifolium;Plagiothecium laetum/curvifolium;Calypogeia integristipula;Dicranum scoparium
Plot1;1.564152426;2.053363578;3.555817637;1.909488463;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Plot2;2.257968397;2.526259042;4.324698022;1.973962039;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plot3;2.359274714;2.569715781;4.289965766;1.933956814;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Plot4;1.614928858;2.202182634;3.695228286;2.081090269;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Plot5;0.616181912;1.533875223;2.613366049;1.997462175;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1
Plot6;1.827457788;2.195805479;3.701995268;1.875288075;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Plot7;1.809814264;2.203028542;3.7604569;1.950816023;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Plot8;1.912172889;2.267933133;3.832062605;1.919889717;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1
Plot9;1.745305534;2.130965351;3.628678392;1.883553335;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0
Plot10;1.836275623;2.216096806;3.76311925;1.926843627;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1
